#Gc logAge  M_H  m_ini    mu0   Av    mratio  Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F275W1mag  F336W1mag  F475Wmag  F814Wmag  F110Wmag  F160Wmag  F098Mmag  F127Mmag  F139Mmag  F153Mmag  TiOmag  CNmag   Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag
 1   9.010  0.07  0.27020  9.950  0.190 0.71   0.269 -2.184  3.4918  4.971    0  0.000  0.545     0.00     0.00 -1 -5.19e-16      0.00 7.036e-01 2.794e-01 3.054e-03 8.239e-04 7.472e-03 -1.000 1.698e-02 19.750 30.057 26.267 23.418 19.456 18.147 17.503 18.588 17.737 17.788 17.525 19.867 19.178 17.850 17.310 17.039 16.668 16.588 16.556 16.520 15.989 
 1   9.030  0.07  0.19858  8.200  0.154 0.00   0.198 -2.459  3.4701  5.027    0  0.000  0.545     0.00     0.00 -1 -3.01e-16      0.00 7.036e-01 2.794e-01 3.054e-03 8.239e-04 7.472e-03 -1.000 1.698e-02 19.117 29.644 26.061 23.043 18.863 17.482 16.844 17.939 17.056 17.149 16.868 19.349 18.553 17.175 16.639 16.362 15.970 15.893 15.863 15.821 15.285 
 1   8.990  0.11  0.11007  9.000  0.198 0.00   0.110 -3.120  3.3974  5.140    0  0.000  0.545     0.00     0.00 -1 -7.79e-17      0.00 6.994e-01 2.819e-01 3.359e-03 9.062e-04 8.219e-03 -1.000 1.868e-02 21.571 32.711 30.890 26.855 21.678 19.867 19.223 20.436 19.339 19.704 19.266 22.610 21.183 19.496 18.944 18.649 18.163 18.123 18.104 18.018 17.418 
 1   9.030  0.15  0.10085  5.950  0.121 0.00   0.101 -3.235  3.3797  5.147    0  0.000  0.545     0.00     0.00 -1 -6.19e-17      0.00 6.944e-01 2.850e-01 3.688e-03 9.949e-04 9.023e-03 -1.000 2.051e-02 18.808 29.775 27.997 23.989 18.862 17.074 16.442 17.637 16.551 16.920 16.484 19.791 18.368 16.707 16.164 15.876 15.394 15.355 15.337 15.253 14.656 
 1   9.010  0.24  0.12220  9.150  0.185 0.00   0.122 -3.014  3.4034  5.104    0  0.000  0.545     0.00     0.00 -1  -9.8e-17      0.00 6.817e-01 2.933e-01 4.504e-03 1.215e-03 1.102e-02 -1.000 2.505e-02 21.456 32.597 30.695 26.727 21.565 19.752 19.112 20.318 19.224 19.592 19.155 22.490 21.070 19.381 18.832 18.534 18.050 18.007 17.988 17.903 17.301 
 1   9.010  0.28  0.53223  9.000  0.138 0.00   0.531 -1.448  3.5418  4.731    0  0.000  0.545     0.00     0.00 -1 -2.65e-15      0.00 6.769e-01 2.959e-01 4.892e-03 1.320e-03 1.197e-02 -1.000 2.720e-02 17.391 26.409 22.533 20.118 16.909 15.879 15.213 16.256 15.536 15.442 15.220 17.111 16.726 15.625 15.060 14.819 14.568 14.507 14.469 14.455 13.926 
 1   9.090  0.20  0.10071 13.800  0.202 0.00   0.100 -3.258  3.3753  5.151    0  0.000  0.545     0.00     0.00 -1 -5.85e-17      0.00 6.881e-01 2.891e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 26.716 37.876 36.078 32.017 26.830 25.016 24.370 25.586 24.487 24.851 24.411 27.763 26.334 24.644 24.090 23.796 23.308 23.268 23.250 23.163 22.564 
 1   9.070  0.22  0.16042 13.600  0.174 0.87   0.160 -2.704  3.4385  5.052    0  0.000  0.545     0.00     0.00 -1 -1.85e-16      0.00 6.847e-01 2.914e-01 4.300e-03 1.160e-03 1.052e-02 -1.000 2.392e-02 24.550 35.555 32.878 29.365 24.536 22.865 22.231 23.391 22.370 22.643 22.267 25.307 24.103 22.515 21.975 21.679 21.224 21.168 21.147 21.079 20.495 
 1   9.150 -0.02  0.60967 13.950  0.213 0.00   0.609 -1.107  3.5993  4.679    0  0.000  0.545     0.00     0.00 -1 -5.74e-15      0.00 7.166e-01 2.695e-01 2.509e-03 6.769e-04 6.140e-03 -1.000 1.394e-02 21.489 29.350 25.403 23.458 20.940 20.108 19.356 20.445 19.795 19.641 19.356 21.033 20.833 19.879 19.200 19.059 18.958 18.951 18.934 18.927 18.787 
 1   9.190  0.00  0.42543  8.200  0.173 0.00   0.424 -1.699  3.5298  4.836    0  0.000  0.545     0.00     0.00 -1 -1.47e-15      0.00 7.105e-01 2.747e-01 2.670e-03 7.204e-04 6.533e-03 -1.000 1.485e-02 17.218 26.505 22.633 20.084 16.750 15.684 15.024 16.071 15.330 15.260 15.035 16.970 16.560 15.424 14.866 14.624 14.347 14.273 14.238 14.221 13.757 
 1   9.190  0.02  0.40893  9.950  0.207 0.00   0.408 -1.753  3.5243  4.852    0  0.000  0.545     0.00     0.00 -1  -1.3e-15      0.00 7.083e-01 2.761e-01 2.798e-03 7.549e-04 6.846e-03 -1.000 1.556e-02 19.103 28.571 24.662 22.084 18.666 17.567 16.908 17.961 17.206 17.148 16.920 18.908 18.465 17.302 16.746 16.500 16.211 16.134 16.100 16.081 15.597 
 1   9.150  0.28  0.43244  8.600  0.155 0.73   0.432 -1.740  3.5135  4.819    0  0.000  0.545     0.00     0.00 -1 -1.36e-15      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 17.312 27.140 23.185 20.578 16.931 15.734 15.091 16.146 15.351 15.347 15.109 17.255 16.691 15.454 14.916 14.658 14.330 14.248 14.216 14.191 13.638 
 1   9.170  0.31  0.32212 10.500  0.169 0.00   0.322 -2.067  3.4860  4.908    0  0.000  0.545     0.00     0.00 -1 -6.69e-16      0.00 6.720e-01 2.995e-01 5.117e-03 1.380e-03 1.252e-02 -1.000 2.846e-02 20.437 30.728 26.853 24.071 20.135 18.835 18.197 19.271 18.429 18.474 18.218 20.542 19.860 18.540 18.007 17.735 17.369 17.286 17.254 17.220 16.661 
 1   9.150  0.37  0.87477 11.150  0.182 0.95   0.874 -0.484  3.6950  4.595    1  0.000  0.537     0.00     0.00 -1 -2.22e-14      0.00 6.672e-01 3.008e-01 5.682e-03 1.552e-03 1.410e-02 -1.000 3.202e-02 16.502 21.575 18.850 17.619 15.895 15.329 14.716 15.593 15.069 14.911 14.703 15.915 15.841 15.141 14.614 14.527 14.487 14.546 14.517 14.464 14.447 
 1   9.190  0.42  0.68830  8.700  0.245 0.00   0.688 -0.992  3.6069  4.647    1  0.000  0.545     0.00     0.00 -1 -7.32e-15      0.00 6.562e-01 3.084e-01 6.352e-03 1.714e-03 1.554e-02 -1.000 3.535e-02 15.950 23.768 19.913 17.918 15.415 14.563 13.779 14.909 14.248 14.068 13.775 15.530 15.291 14.333 13.623 13.492 13.416 13.453 13.418 13.396 13.284 
 1   9.190  0.58  0.23779 11.300  0.214 0.00   0.236 -2.392  3.4486  4.949    0  0.000  0.545     0.00     0.00 -1 -3.52e-16      0.00 6.108e-01 3.392e-01 8.989e-03 2.425e-03 2.199e-02 -1.000 4.999e-02 22.051 32.887 29.644 26.456 21.928 20.386 19.756 20.876 19.923 20.112 19.788 22.565 21.552 20.056 19.524 19.231 18.804 18.734 18.708 18.654 18.080 
